Name,Lat,Lon,One year flood,Two year flood
"PEMBINA RIVER AT NECHE, ND",48.9897138,-97.5570221,5405.315789473684,8696.0
GENESEE RIVER AT ROCHESTER NY,43.1806176,-77.6275019,8903.157894736842,11352.0
WILDWOOD CANYON CR A BURBANK CA,34.20944444,-118.2916667,0.14894736842105263,1.3690000000000002
"Zacate Ck at Laredo, TX",27.5360972,-99.5001833,200.1263157894737,257.6
"Rio Grande at Pipeline Crsg bl Laredo, TX",27.4005766,-99.4886529,12592.105263157895,19510.0
GUADALUPE R ABV HWY 101 A SAN JOSE CA,37.3738296,-121.9330129,1700.578947368421,2185.0
"W Fk Trinity Rv at Grand Prairie, TX",32.7625,-96.9944444,12308.947368421053,15118.0
"PISCATAWAY CREEK AT PISCATAWAY, MD",38.70577778,-76.9661944,1163.4736842105262,1857.1
"THORNTON CREEK NEAR SEATTLE, WA",47.69565378,-122.2762368,62.94736842105263,82.0
"DES PLAINES RIVER AT RIVERSIDE, IL",41.82149167,-87.8220361,5480.0,6933.0
"SALT RIVER AT PRIEST DRIVE NEAR PHOENIX, AZ.",33.43948927,-111.9609781,4131.9473684210525,7427.4
"ROCK CREEK AT JOYCE RD WASHINGTON, DC",38.96016667,-77.0420556,nan,nan
"BIG DRY CREEK AT WESTMINSTER, CO",39.90568056,-105.0353889,200.73157894736843,255.9
"GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER NY",43.1417222,-77.6163056,12475.263157894737,13640.0
"Sawmill Run at Duquesne Heights nr Pittsburgh, PA",40.4328469,-80.0294983,nan,nan
GUADALUPE R AB ALMADEN EXPRESSWAY A SAN JOSE CA,37.28077615,-121.8796764,456.68842105263155,672.1
"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",39.66498738,-105.004149,1564.842105263158,1787.5
SANTA CLARA RIVER AT MONTALVO CA,34.27889168,-119.142051,3504.758421052631,4152.007
COTTONWOOD C AB TECATE C NR DULZURA CA,32.5750606,-116.7539079,33.02368421052632,50.335
"Blunn Ck nr Little Stacy Pk, Austin, TX",30.24743158,-97.7438939,7.075263157894737,11.580000000000002
"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",38.94977778,-77.12763889,116342.1052631579,137260.0
RIO HONDO AB WHITTIER NARROWS DAM CA,34.05834368,-118.0717348,1749.0,2368.0
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
"NB CHICAGO RIVER AT N PULASKI ROAD AT CHICAGO, IL",41.9747222,-87.7283333,924.4736842105264,1067.5
"Mattese Creek near Mattese, MO",38.48177778,-90.3419444,417.2105263157895,525.9
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
PERRIS VALLEY STORM DR A NUEVO RD NR PERRIS CA,33.80113024,-117.2061469,558.421052631579,743.0
CARBON C A LOS ALAMITOS CA,33.81527778,-118.0644444,76.43368421052632,128.504
"WHITEWATER DRAW NEAR DOUGLAS, AZ.",31.35232457,-109.5850677,279.6684210526316,426.7
CONSELYEAS POND TRIBUTARY AT ROSEDALE NY,40.66205556,-73.7433056,39.49473684210527,51.099999999999994
"INDIAN C AT OVERLAND PARK, KS",38.9405621,-94.6713469,1496.7894736842106,1859.3
BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY,40.86230556,-73.87438889,969.6315789473684,1164.1
"CALUMET R BLW OBRIEN LOCK AND DAM AT CHICAGO, IL",41.64809055,-87.5639334,435.63157894736844,547.1
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
Saddle River at Lodi NJ,40.89027778,-74.0805556,1472.6315789473683,1818.9
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
"CALUMET R BLW OBRIEN LOCK AND DAM AT CHICAGO, IL",41.64809055,-87.5639334,435.63157894736844,547.1
"ELLIOTT DITCH NEAR ELSTON, IN",40.3708692,-86.90945339,261.178947368421,417.0
"BLACK CREEK CANAL WEST OF U.S. 1 NR  GOULDS, FL",25.57091667,-80.37875,nan,nan
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
Passaic River at Little Falls NJ,40.8847222,-74.2261111,8142.105263157895,10045.0
CONSELYEAS POND TRIBUTARY AT ROSEDALE NY,40.66205556,-73.7433056,39.49473684210527,51.099999999999994
WILDWOOD CANYON CR A BURBANK CA,34.20944444,-118.2916667,0.14894736842105263,1.3690000000000002
"Mill Creek at Eshelman Mill Road near Lyndon, PA",40.0100985,-76.2771806,220.42105263157896,329.0
