POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
923,0,-43.759,281.129
924,0,-43.803,281.166
925,0,-43.847,281.203
926,0,-43.891,281.241
927,0,-43.935,281.278
928,0,-43.979,281.316
929,0,-44.023,281.353
930,0,-44.067,281.391
931,0,-44.111,281.429
932,0,-44.155,281.466
933,0,-44.199,281.504
934,0,-44.243,281.542
935,0,-44.287,281.58
936,0,-44.331,281.618
937,0,-44.375,281.656
938,0,-44.418,281.694
939,0,-44.462,281.732
940,0,-44.506,281.77
941,0,-44.55,281.809
942,0,-44.594,281.847
943,0,-44.638,281.886
944,0,-44.681,281.924
945,0,-44.725,281.963
946,0,-44.769,282.001
947,0,-44.813,282.04
948,0,-44.856,282.079
949,0,-44.9,282.117
950,0,-44.944,282.156
951,0,-44.987,282.195
952,0,-45.031,282.234
953,0,-45.075,282.273
954,0,-45.118,282.313
955,0,-45.162,282.352
956,0,-45.206,282.391
957,0,-45.249,282.43
958,0,-45.293,282.47
959,0,-45.336,282.509
960,0,-45.38,282.549
961,0,-45.423,282.589
962,0,-45.467,282.628
963,0,-45.51,282.668
964,0,-45.554,282.708
965,0,-45.597,282.748
966,0,-45.641,282.788
967,0,-45.684,282.828
968,0,-45.727,282.868
969,0,-45.771,282.908
970,0,-45.814,282.948
971,0,-45.858,282.988
972,0,-45.901,283.029
973,0,-45.944,283.069
974,0,-45.987,283.11
975,0,-46.031,283.15
976,0,-46.074,283.191
977,0,-46.117,283.232
978,0,-46.16,283.273
979,0,-46.204,283.313
980,0,-46.247,283.354
981,0,-46.29,283.395
982,0,-46.333,283.436
983,0,-46.376,283.478
984,0,-46.419,283.519
985,0,-46.463,283.56
986,0,-46.506,283.602
987,0,-46.549,283.643
988,0,-46.592,283.684
989,0,-46.635,283.726
990,0,-46.678,283.768
991,0,-46.721,283.809
992,0,-46.764,283.851
993,0,-46.807,283.893
994,0,-46.85,283.935
995,0,-46.892,283.977
996,0,-46.935,284.019
997,0,-46.978,284.061
998,0,-47.021,284.104
999,0,-47.064,284.146
1000,0,-47.107,284.188
1001,0,-47.15,284.231
1002,0,-47.192,284.273
1003,0,-47.235,284.316
1004,0,-47.278,284.359
1005,0,-47.321,284.401
1006,0,-47.363,284.444
1007,0,-47.406,284.487
1008,0,-47.449,284.53
1009,0,-47.491,284.573
1010,0,-47.534,284.616
1011,0,-47.577,284.66
1012,0,-47.619,284.703
1013,0,-47.662,284.746
1014,0,-47.704,284.79
1015,0,-47.747,284.833
1016,0,-47.789,284.877
1017,0,-47.832,284.921
1018,0,-47.874,284.965
1019,0,-47.917,285.008
1020,0,-47.959,285.052
1021,0,-48.002,285.096
1022,0,-48.044,285.14
1023,0,-48.086,285.185
1024,0,-48.129,285.229
1025,0,-48.171,285.273
1026,0,-48.213,285.318
1027,0,-48.256,285.362
1028,0,-48.298,285.407
1029,0,-48.34,285.451
1030,0,-48.382,285.496
1031,0,-48.425,285.541
1032,0,-48.467,285.586
1033,0,-48.509,285.631
1034,0,-48.551,285.676
1035,0,-48.593,285.721
1036,0,-48.635,285.766
1037,0,-48.677,285.812
1038,0,-48.719,285.857
1039,0,-48.761,285.902
